arch,seed,params,val_auc,test_acc,test_auc,test_f1,test_ece,train_time_s
CIFAKE-CNN,42,141345,0.98986066,0.94665,0.9883464099999999,0.9468281257786415,0.057584388226270676,196.2
ResNet-18,42,11169345,0.99551196,0.9676,0.99465517,0.9675545764069697,0.043100690770149205,214.1
CIFAKE-CNN,43,141345,0.9894501,0.94845,0.9893137750000001,0.948570858482566,0.060450948575139066,193.4
ResNet-18,43,11169345,0.99642116,0.979,0.99651224,0.9790753288162615,0.04507189323306086,463.9
CIFAKE-CNN,44,141345,0.99000188,0.94855,0.9896156,0.9487217820301989,0.06049705193042753,192.9
ResNet-18,44,11169345,0.99678156,0.9792,0.9962017000000001,0.9792249300838993,0.04480307745039461,463.3
CIFAKE-CNN,45,141345,0.98978826,0.94935,0.989754375,0.9495442546197141,0.05923075639605521,193.7
ResNet-18,45,11169345,0.9962235200000001,0.97775,0.99550756,0.9777555611097226,0.044367561438679676,371.0
CIFAKE-CNN,46,141345,0.98951226,0.9475,0.989004745,0.9474789915966386,0.06041545090079309,193.2
ResNet-18,46,11169345,0.9962032799999999,0.97095,0.99546655,0.9712019826517968,0.04007301576733591,209.7
