seed,set,n,accuracy,roc_auc
42,A,2000,0.9525,0.99118
42,gen_ADM,1000,0.474,0.464496
42,gen_BigGAN,1000,0.559,0.5703560000000001
42,gen_GLIDE,1000,0.633,0.681132
42,gen_Midjourney,1000,0.626,0.68246
42,gen_SD15,1000,0.667,0.765994
42,gen_VQDM,1000,0.568,0.5985320000000001
42,gen_Wukong,1000,0.619,0.690822
43,A,2000,0.9495,0.9909309999999999
43,gen_ADM,1000,0.48,0.465644
43,gen_BigGAN,1000,0.556,0.57128
43,gen_GLIDE,1000,0.627,0.677728
43,gen_Midjourney,1000,0.62,0.6771240000000001
43,gen_SD15,1000,0.66,0.761038
43,gen_VQDM,1000,0.564,0.5986739999999999
43,gen_Wukong,1000,0.611,0.6832
44,A,2000,0.952,0.991113
44,gen_ADM,1000,0.476,0.46551200000000004
44,gen_BigGAN,1000,0.557,0.56858
44,gen_GLIDE,1000,0.626,0.67869
44,gen_Midjourney,1000,0.617,0.6787099999999999
44,gen_SD15,1000,0.659,0.762064
44,gen_VQDM,1000,0.564,0.598204
44,gen_Wukong,1000,0.613,0.685902
45,A,2000,0.951,0.9910610000000001
45,gen_ADM,1000,0.478,0.464428
45,gen_BigGAN,1000,0.558,0.5691060000000001
45,gen_GLIDE,1000,0.624,0.6761079999999999
45,gen_Midjourney,1000,0.619,0.6789999999999999
45,gen_SD15,1000,0.663,0.758706
45,gen_VQDM,1000,0.567,0.60004
45,gen_Wukong,1000,0.615,0.68208
46,A,2000,0.9505,0.991004
46,gen_ADM,1000,0.479,0.466576
46,gen_BigGAN,1000,0.562,0.572624
46,gen_GLIDE,1000,0.633,0.679288
46,gen_Midjourney,1000,0.627,0.681952
46,gen_SD15,1000,0.671,0.76488
46,gen_VQDM,1000,0.57,0.598408
46,gen_Wukong,1000,0.615,0.68748
