arch,seed,set,n,accuracy,roc_auc,recall_fake,specificity_real
CIFAKE-CNN,42,A,2000,0.9435,0.9859345,0.951,0.936
CIFAKE-CNN,42,gen_ADM,1000,0.472,0.46518400000000004,0.416,0.528
CIFAKE-CNN,42,gen_BigGAN,1000,0.456,0.44144,0.384,0.528
CIFAKE-CNN,42,gen_GLIDE,1000,0.515,0.536986,0.502,0.528
CIFAKE-CNN,42,gen_Midjourney,1000,0.532,0.532338,0.536,0.528
CIFAKE-CNN,42,gen_SD15,1000,0.713,0.8329579999999999,0.898,0.528
CIFAKE-CNN,42,gen_VQDM,1000,0.461,0.45664,0.394,0.528
CIFAKE-CNN,42,gen_Wukong,1000,0.715,0.8482660000000001,0.902,0.528
CIFAKE-CNN,43,A,2000,0.949,0.987313,0.959,0.939
CIFAKE-CNN,43,gen_ADM,1000,0.471,0.467092,0.424,0.518
CIFAKE-CNN,43,gen_BigGAN,1000,0.457,0.42867,0.396,0.518
CIFAKE-CNN,43,gen_GLIDE,1000,0.518,0.533366,0.518,0.518
CIFAKE-CNN,43,gen_Midjourney,1000,0.514,0.5227660000000001,0.51,0.518
CIFAKE-CNN,43,gen_SD15,1000,0.71,0.8284299999999999,0.902,0.518
CIFAKE-CNN,43,gen_VQDM,1000,0.446,0.442722,0.374,0.518
CIFAKE-CNN,43,gen_Wukong,1000,0.718,0.850122,0.918,0.518
CIFAKE-CNN,44,A,2000,0.948,0.9872835,0.956,0.94
CIFAKE-CNN,44,gen_ADM,1000,0.467,0.45896200000000004,0.38,0.554
CIFAKE-CNN,44,gen_BigGAN,1000,0.455,0.42887000000000003,0.356,0.554
CIFAKE-CNN,44,gen_GLIDE,1000,0.535,0.535968,0.516,0.554
CIFAKE-CNN,44,gen_Midjourney,1000,0.531,0.532844,0.508,0.554
CIFAKE-CNN,44,gen_SD15,1000,0.729,0.8370620000000001,0.904,0.554
CIFAKE-CNN,44,gen_VQDM,1000,0.45,0.447624,0.346,0.554
CIFAKE-CNN,44,gen_Wukong,1000,0.725,0.853642,0.896,0.554
CIFAKE-CNN,45,A,2000,0.9465,0.9881865,0.953,0.94
CIFAKE-CNN,45,gen_ADM,1000,0.46,0.46036,0.342,0.578
CIFAKE-CNN,45,gen_BigGAN,1000,0.47,0.45674400000000004,0.362,0.578
CIFAKE-CNN,45,gen_GLIDE,1000,0.527,0.533544,0.476,0.578
CIFAKE-CNN,45,gen_Midjourney,1000,0.527,0.536326,0.476,0.578
CIFAKE-CNN,45,gen_SD15,1000,0.728,0.838288,0.878,0.578
CIFAKE-CNN,45,gen_VQDM,1000,0.472,0.466446,0.366,0.578
CIFAKE-CNN,45,gen_Wukong,1000,0.738,0.8538739999999999,0.898,0.578
CIFAKE-CNN,46,A,2000,0.9455,0.98628,0.947,0.944
CIFAKE-CNN,46,gen_ADM,1000,0.466,0.46899,0.352,0.58
CIFAKE-CNN,46,gen_BigGAN,1000,0.448,0.43793000000000004,0.316,0.58
CIFAKE-CNN,46,gen_GLIDE,1000,0.518,0.52817,0.456,0.58
CIFAKE-CNN,46,gen_Midjourney,1000,0.513,0.523108,0.446,0.58
CIFAKE-CNN,46,gen_SD15,1000,0.729,0.835202,0.878,0.58
CIFAKE-CNN,46,gen_VQDM,1000,0.46,0.460534,0.34,0.58
CIFAKE-CNN,46,gen_Wukong,1000,0.736,0.8571439999999999,0.892,0.58
DSF-Net,42,A,2000,0.949,0.9897160000000002,0.981,0.917
DSF-Net,42,gen_ADM,1000,0.496,0.5024839999999999,0.562,0.43
DSF-Net,42,gen_BigGAN,1000,0.462,0.45079800000000003,0.494,0.43
DSF-Net,42,gen_GLIDE,1000,0.532,0.547464,0.634,0.43
DSF-Net,42,gen_Midjourney,1000,0.548,0.571458,0.666,0.43
DSF-Net,42,gen_SD15,1000,0.681,0.8080880000000001,0.932,0.43
DSF-Net,42,gen_VQDM,1000,0.503,0.508286,0.576,0.43
DSF-Net,42,gen_Wukong,1000,0.681,0.811724,0.932,0.43
