variant,seed,params,best_val_auc,val_acc,val_auc,val_ece,biggan_recall,train_time_s
1. spatial only,42,702930,0.992215,0.960917,0.992215,0.043059,0.684,4294.2
3. concat fusion,42,806850,0.988042,0.95075,0.988042,0.03843,0.383,5696.0
4. gated fusion (full),42,848066,0.988356,0.951417,0.988356,0.037957,0.506,36.3
1. spatial only,43,702930,0.992071,0.959833,0.992071,0.043383,0.664,4361.5
3. concat fusion,43,806850,0.988686,0.952667,0.988686,0.038358,0.609,5557.6
4. gated fusion (full),43,848066,0.989015,0.951583,0.989015,0.039648,0.616,5537.7
1. spatial only,44,702930,0.990381,0.956333,0.990381,0.039715,0.637,4258.0
3. concat fusion,44,806850,0.988306,0.95,0.988306,0.037816,0.354,5547.2
4. gated fusion (full),44,848066,0.988489,0.949333,0.988489,0.041178,0.459,5548.6
1. spatial only,45,702930,0.991612,0.957667,0.991612,0.04005,0.642,4253.1
3. concat fusion,45,806850,0.989531,0.948417,0.989531,0.040793,0.254,5547.8
4. gated fusion (full),45,848066,0.99095,0.953583,0.99095,0.043083,0.252,5552.5
