degradation,model,accuracy,roc_auc,recall
clean,DSF-Net (tuned),0.9577,0.9906967905562508,0.9700218383958705
clean,ResNet-18,0.9786,0.9972098872134239,0.9811395672027
clean,CIFAKE-CNN,0.9463,0.9884986101838936,0.9458010720667064
clean,spatial only,0.9552,0.9917617088711779,0.9728012705975779
clean,frequency only,0.9145,0.9716557078665627,0.9154258487194759
JPEG q90,DSF-Net (tuned),0.9549,0.9893885389163911,0.9718086162398253
JPEG q90,ResNet-18,0.9769,0.9968461872972164,0.9785586658725431
JPEG q90,CIFAKE-CNN,0.9457,0.9882058341514782,0.9456025411951559
JPEG q90,spatial only,0.9496,0.9907632341947046,0.9700218383958705
JPEG q90,frequency only,0.9076,0.9690716463633549,0.9174111574349811
JPEG q70,DSF-Net (tuned),0.9457,0.9881761325250171,0.9805439745880484
JPEG q70,ResNet-18,0.9763,0.9965692121300562,0.9876910859638673
JPEG q70,CIFAKE-CNN,0.9408,0.9883021594262501,0.9694262457812189
JPEG q70,spatial only,0.9435,0.9903598921076918,0.9835219376613064
JPEG q70,frequency only,0.9057,0.9694053646377676,0.946793726424459
JPEG q50,DSF-Net (tuned),0.9095,0.9735672525427493,0.9733968632122295
JPEG q50,ResNet-18,0.9595,0.9911490153200788,0.965654159221759
JPEG q50,CIFAKE-CNN,0.8926,0.9794094524616168,0.9787571967440937
JPEG q50,spatial only,0.9109,0.980522393406263,0.9759777645423864
JPEG q50,frequency only,0.8482,0.9382284373892315,0.9456025411951559
JPEG q30,DSF-Net (tuned),0.8844,0.9706399322426896,0.802263251935676
JPEG q30,ResNet-18,0.9238,0.9797229896309122,0.8628151677585865
JPEG q30,CIFAKE-CNN,0.8897,0.9750755751384947,0.8078221163390907
JPEG q30,spatial only,0.8844,0.9723808275741179,0.7941234862021044
JPEG q30,frequency only,0.8334,0.9312980178794591,0.7252332737740719
blur sigma=0.5,DSF-Net (tuned),0.7704,0.9701209038206933,0.5471510819932499
blur sigma=0.5,ResNet-18,0.8442,0.9625196075737107,0.6920786182251341
blur sigma=0.5,CIFAKE-CNN,0.7786,0.9682186196516123,0.5662100456621004
blur sigma=0.5,spatial only,0.8319,0.9768577127283491,0.6710343458407783
blur sigma=0.5,frequency only,0.6924,0.9147846136054409,0.3946793726424459
blur sigma=1.0,DSF-Net (tuned),0.5602,0.7620653506986044,0.13559658526900933
blur sigma=1.0,ResNet-18,0.6226,0.7766324283917786,0.2668254913639071
blur sigma=1.0,CIFAKE-CNN,0.6536,0.7900328021962483,0.33889219773674806
blur sigma=1.0,spatial only,0.6325,0.7808104971828257,0.3081199126464165
blur sigma=1.0,frequency only,0.5268,0.6117453791769638,0.07425054595989676
noise sigma=0.01,DSF-Net (tuned),0.9507,0.9892188896263959,0.973198332340679
noise sigma=0.01,ResNet-18,0.9771,0.9968032849478838,0.9737939249553306
noise sigma=0.01,CIFAKE-CNN,0.945,0.9881564114450907,0.939249553305539
noise sigma=0.01,spatial only,0.9542,0.991111713277419,0.973198332340679
noise sigma=0.01,frequency only,0.8507,0.9566010634742359,0.9716100853682748
noise sigma=0.05,DSF-Net (tuned),0.7726,0.8684259750063914,0.7212626563430613
noise sigma=0.05,ResNet-18,0.8552,0.9597230744355562,0.7262259281318245
noise sigma=0.05,CIFAKE-CNN,0.9045,0.9685302367157627,0.9033154655548938
noise sigma=0.05,spatial only,0.8589,0.940387935643356,0.8191383760174707
noise sigma=0.05,frequency only,0.5037,0.6296516797259819,1.0
rescale x0.5,DSF-Net (tuned),0.6031,0.7288977544410332,0.27496525709747865
rescale x0.5,ResNet-18,0.6732,0.7807787554446481,0.4232678181457217
rescale x0.5,CIFAKE-CNN,0.6974,0.7968753968967341,0.4782608695652174
rescale x0.5,spatial only,0.6626,0.7549936234508202,0.47270200516180266
rescale x0.5,frequency only,0.5548,0.631880021749991,0.16875124081794718
clean,DSF-Net (JPEG-aug),0.9649,0.9928687494927223,0.9700218383958705
JPEG q90,DSF-Net (JPEG-aug),0.964,0.9922385949854613,0.9724042088544769
JPEG q70,DSF-Net (JPEG-aug),0.9626,0.9923148991638783,0.9728012705975779
JPEG q50,DSF-Net (JPEG-aug),0.948,0.9866698700420836,0.9579114552312885
JPEG q30,DSF-Net (JPEG-aug),0.9326,0.9818695071742127,0.9356759976176295
blur sigma=0.5,DSF-Net (JPEG-aug),0.8454,0.9781700445916419,0.6964462973992456
blur sigma=1.0,DSF-Net (JPEG-aug),0.6086,0.7722091261717492,0.24459003375024815
noise sigma=0.01,DSF-Net (JPEG-aug),0.9613,0.9922426552077992,0.9728012705975779
noise sigma=0.05,DSF-Net (JPEG-aug),0.8394,0.9260366697680364,0.8729402422076633
rescale x0.5,DSF-Net (JPEG-aug),0.6395,0.7334873457670542,0.38773079213817746
