variant,seed,params,val_auc,test_acc,test_auc,test_f1,test_ece,train_time_s
1. spatial only,42,702930,0.9881320200000001,0.95105,0.9888743799999999,0.9512523029427874,0.04127841723561287,213.0
2. frequency only,42,75633,0.9661424999999999,0.90635,0.9679369449999999,0.9064669163545568,0.031644584631919874,250.5
3. concat fusion,42,806850,0.99120536,0.9525,0.9912379800000002,0.9532848151062155,0.046348348832130404,237.3
4. gated fusion (full),42,848066,0.9905464199999999,0.95075,0.99120117,0.9521542721134697,0.039250707072019574,222.6
5. no constrained conv,42,847841,0.9945066800000001,0.96565,0.99380633,0.9657168521383303,0.04038641721010212,244.6
6. no radial features,42,836706,0.9916532600000001,0.95325,0.9914676900000001,0.9539476924592425,0.04708700222074985,204.7
7. heavy augmentation,42,848066,0.9943795599999999,0.96335,0.9935568650000001,0.9634468658056151,0.04233921002149581,651.6
1. spatial only,43,702930,0.9912656000000001,0.9582,0.9911877800000001,0.958407960199005,0.03395640633404257,195.8
2. frequency only,43,75633,0.9677250000000001,0.90775,0.9689113149999999,0.9075975359342916,0.03228584946095944,249.3
3. concat fusion,43,806850,0.9926964,0.95805,0.9919910899999999,0.9578073925069147,0.03901251952052117,277.6
4. gated fusion (full),43,848066,0.9903037400000001,0.95305,0.99046754,0.952563778732003,0.03974037923514841,280.7
5. no constrained conv,43,847841,0.9944765400000001,0.96495,0.9934590149999999,0.9650321743901831,0.04590379362702372,245.1
6. no radial features,43,836706,0.99213768,0.9556,0.991106785,0.9548459269805756,0.037992735660076174,278.0
7. heavy augmentation,43,848066,0.9944350800000001,0.9662,0.9939247250000001,0.9661492238357536,0.04251012260913845,651.1
1. spatial only,44,702930,0.9914193,0.95555,0.9914645000000001,0.9562306139530303,0.04806220923066141,147.8
2. frequency only,44,75633,0.96952976,0.9123,0.9712902350000001,0.912805726784649,0.03534369193911553,249.3
3. concat fusion,44,806850,0.99175514,0.96075,0.9919233250000002,0.9609860344913275,0.04411140273511414,306.9
4. gated fusion (full),44,848066,0.99197756,0.95975,0.991627175,0.9594805456284291,0.04481138872802261,266.2
5. no constrained conv,44,847841,0.9942097599999999,0.96655,0.9945416949999999,0.9666217632091004,0.042939247217774396,273.6
6. no radial features,44,836706,0.9918619599999999,0.9616,0.99203171,0.961441911838538,0.04073240403831001,307.1
7. heavy augmentation,44,848066,0.99395382,0.96485,0.99385845,0.9647813235809829,0.04243256867229939,650.7
1. spatial only,45,702930,0.9913621800000001,0.95405,0.99128916,0.9547357533369453,0.04780103359222414,147.4
2. frequency only,45,75633,0.9669471800000001,0.9056,0.967829215,0.9062468964147383,0.03210757394134998,249.5
3. concat fusion,45,806850,0.9903494799999999,0.95605,0.9912253650000001,0.9559993993092056,0.04514426724612715,263.2
4. gated fusion (full),45,848066,0.9921006600000001,0.95595,0.991238725,0.9554262585378194,0.04326114331483842,295.7
5. no constrained conv,45,847841,0.99402302,0.96795,0.9944977500000001,0.9679227343241755,0.045788916847109756,244.5
6. no radial features,45,836706,0.9924342200000001,0.95625,0.9923292,0.9556849835401368,0.041722694686055224,248.8
7. heavy augmentation,45,848066,0.99464946,0.96435,0.99427064,0.9642946567179128,0.042773581123352084,652.4
1. spatial only,46,702930,0.99036704,0.95595,0.99074431,0.9559786139009644,0.039116272753477094,183.9
2. frequency only,46,75633,0.9680951999999999,0.90805,0.96854138,0.9082106313950586,0.03576175345778464,249.3
3. concat fusion,46,806850,0.9923918599999999,0.95555,0.991391065,0.9556497879770516,0.043416292497515684,248.2
4. gated fusion (full),46,848066,0.9920534999999999,0.958,0.99234033,0.9585389930898321,0.04166437393724919,266.0
5. no constrained conv,46,847841,0.99433436,0.96475,0.99389303,0.9651041924466663,0.04075226260423662,244.5
6. no radial features,46,836706,0.9914217,0.96085,0.9916424500000001,0.9609573672400897,0.04022513787746426,292.3
7. heavy augmentation,46,848066,0.9940955800000001,0.96255,0.993734875,0.962615423009733,0.04303268082141873,651.7
